County_Name,City,ZIP,County_Population,City_Population,Zip_Population,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Or_Above_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges
Marion County,Goessel,67053,11795,541,541,1,0,1,0,0,0,0,0
Marion County,Hillsboro,67063,11795,2716,3546,1,0,1,0,0,1,0,0
Marion County,Hillsboro,DNE,11795,2716,-1,0,0,0,0,1,1,0,0
Marion County,Lost Springs,66859,11795,49,186,0,0,0,1,1,0,0,0
Marion County,Marion,66861,11795,2010,2929,1,1,1,0,0,0,0,0
Marion County,Peabody,66866,11795,1152,1714,1,0,1,0,0,0,0,0
Marshall County,Axtell,66403,10001,466,803,1,0,1,0,0,0,0,0
Marshall County,Blue Rapids,66411,10001,918,1195,1,0,1,0,0,0,0,0
Marshall County,Frankfort,66427,10001,731,1241,1,0,1,0,0,0,0,0
Marshall County,Marysville,66508,10001,3423,4020,1,0,1,0,0,0,0,0
Marshall County,Waterville,66548,10001,748,924,1,0,0,0,0,0,0,0
McPherson County,Canton,67428,30130,626,1137,0,0,1,0,0,0,0,0
McPherson County,Galva,67443,30130,997,2028,1,0,0,0,0,0,0,0
McPherson County,Inman,67546,30130,1425,2759,1,0,1,0,0,0,0,0
McPherson County,Lindsborg,67456,30130,3773,5170,1,1,1,1,0,1,0,0
McPherson County,Lindsborg,DNE,30130,3773,-1,0,0,0,0,1,1,0,0
McPherson County,McPherson,67460,30130,13956,15933,4,1,1,0,0,2,0,0
McPherson County,McPherson,DNE,30130,13956,-1,0,0,0,0,1,2,0,0
McPherson County,Moundridge,67107,30130,1654,2565,1,1,1,0,0,0,0,0
McPherson County,Windom,67491,30130,52,362,1,0,0,0,0,0,0,0
Meade County,Fowler,67844,3949,507,726,1,0,1,0,0,0,0,0
Meade County,Meade,67864,3949,1274,1701,1,0,1,0,0,0,0,0
Meade County,Plains,67869,3949,1308,1518,1,0,0,0,0,0,0,0
Miami County,Louisburg,66053,34625,5034,7744,2,1,1,1,0,0,0,0
Miami County,Osawatomie,66064,34625,4244,5617,1,1,1,1,1,0,0,0
Miami County,Paola,66071,34625,5757,12425,2,1,1,0,0,0,0,0
Miami County,Spring Hill,66083,34625,8691,12832,0,1,0,1,1,0,0,0
Mitchell County,Beloit,67420,5767,3141,3824,1,0,1,0,0,0,1,0
Mitchell County,Beloit,DNE,5767,3141,-1,0,0,0,0,1,0,1,0
Mitchell County,Cawker City,67430,5767,413,508,1,0,0,0,0,0,0,0
Mitchell County,Tipton,67485,5767,211,349,0,0,0,0,1,0,0,0
Montgomery County,Caney,67333,31143,1450,2534,1,0,1,1,0,0,0,0
Montgomery County,Cherryvale,67335,31143,2125,3300,1,1,0,0,0,0,0,0
Montgomery County,Coffeyville,67337,31143,8752,10944,1,1,1,1,0,0,1,0
Montgomery County,Coffeyville,DNE,31143,8752,-1,0,0,0,0,1,0,1,0
Montgomery County,Independence,67301,31143,8469,12996,1,1,1,1,1,0,1,0
Montgomery County,Independence,DNE,31143,8469,-1,0,0,0,0,1,0,1,0
Morris County,Council Grove,66846,5388,2487,3331,1,0,1,0,0,0,0,0
